sample_name,measurement_file,cell_name,direction,column_name,Efficiency,Fill Factor,Imax,InPower,Isc,Jsc,Pmax,Rs,Rsh,Vmax,Voc,fit_I_ph,fit_I_s,fit_n,fit_R_s,fit_R_sh,fit_R_squared,fit_RMSE,Mg,P,S,Fe,Cu,Zn,Pd,Sn,Pb,10.5min-391.3,10.5min-493.4,10.5min-771.3,11.2min-1028.4,11.2min-1148.4,11.8min-998.4,13.5min-189.0,13.5min-1225.4,11.8min-100.7,4min-214.1,4min-230.2,5.5min-123.0,5.5min-244.2,5.5min-101.2
1_LotF259031,PSC30＿水準9,セル5,Forward,1_LotF259031_PSC30＿水準9_セル5_Forward,10.212809422193,0.644891930043661,1.173895,1.0117,1.364536,22.3988181221274,0.62216435,77.4503949582892,104344.526655215,0.53,0.707022414144301,0.001242748629,0.0005794665249191,0.5000000000000001,39.06349159583195,600.4172280746943,0.98909612672755,0.4226373768718551,2,1000,1000,2,0,3,1000.0,2,0,24863252.0,123542632.0,108425383.0,3961184.0,40675670.0,571977382.0,1534790684.0,706788740.0,27225696.0,210449.0,13943487.0,371893003.0,1911868.0,7483057.0
1_LotF259031,PSC30＿水準9,セル6,Forward,1_LotF259031_PSC30＿水準9_セル6_Forward,11.145487196323,0.53466642140823,1.095134,1.0117,1.387952,22.7831910702561,0.67898308,180.081767927545,12137.8863893823,0.62,0.914958918846692,0.0013748699821819,1.839301645487021e-07,4.0000004807434,120.7850775453316,3298502.488628331,0.999590165852228,0.0181915384916916,2,1000,1000,2,0,3,1000.0,2,0,24863252.0,123542632.0,108425383.0,3961184.0,40675670.0,571977382.0,1534790684.0,706788740.0,27225696.0,210449.0,13943487.0,371893003.0,1911868.0,7483057.0
1_LotF259031,PSC30＿水準9,セル6,Reverse,1_LotF259031_PSC30＿水準9_セル6_Reverse,12.360043335522,0.557669936128826,1.045797,1.0117,1.381867,22.6833059750492,0.75297384,132.188475385713,17536.2149408523,0.72,0.977094143045908,0.0013709233977284,1.638515620284017e-07,4.222308126470499,72.0735182317809,15082.940242175027,0.9977245053051704,0.0409637607300041,2,1000,1000,2,0,3,1000.0,2,0,24863252.0,123542632.0,108425383.0,3961184.0,40675670.0,571977382.0,1534790684.0,706788740.0,27225696.0,210449.0,13943487.0,371893003.0,1911868.0,7483057.0
1_LotF259031,PSC30＿水準9,セル7,Forward,1_LotF259031_PSC30＿水準9_セル7_Forward,11.0675147734734,0.535956173219369,1.1053,1.0117,1.398333,22.9535948785292,0.674233,179.028347276897,12069.6970140273,0.61,0.899642824841028,0.0013908029881594,2.120004625018854e-07,3.999999999946647,122.90528010654866,3370504.235723621,0.9994086819728056,0.0226276359635921,2,1000,1000,2,0,3,1000.0,2,0,24863252.0,123542632.0,108425383.0,3961184.0,40675670.0,571977382.0,1534790684.0,706788740.0,27225696.0,210449.0,13943487.0,371893003.0,1911868.0,7483057.0
1_LotF259031,PSC30＿水準9,セル7,Reverse,1_LotF259031_PSC30＿水準9_セル7_Reverse,12.2201247537754,0.555085879524366,1.0635,1.0117,1.396647,22.9259192383454,0.74445,128.758757848812,17481.0357248788,0.7,0.960259697401468,0.0013659363360285,2.46077712064326e-07,4.318434545988026,76.28279636110368,4117894.4071581736,0.9967712193348802,0.0515012290798802,2,1000,1000,2,0,3,1000.0,2,0,24863252.0,123542632.0,108425383.0,3961184.0,40675670.0,571977382.0,1534790684.0,706788740.0,27225696.0,210449.0,13943487.0,371893003.0,1911868.0,7483057.0
1_LotF259031,PSC30＿水準9,セル8,Forward,1_LotF259031_PSC30＿水準9_セル8_Forward,11.3339990151018,0.62554503649999,1.211346,1.0117,1.412811,23.1912508207485,0.69046722,99.9372494011011,46594.3747882275,0.57,0.781268681394952,0.0014227296144534,4.830383816976268e-07,3.820765232377707,34.803722172837034,927828.84927771,0.9998877523746788,0.0249922357579764,2,1000,1000,2,0,3,1000.0,2,0,24863252.0,123542632.0,108425383.0,3961184.0,40675670.0,571977382.0,1534790684.0,706788740.0,27225696.0,210449.0,13943487.0,371893003.0,1911868.0,7483057.0
1_LotF259031,PSC30＿水準9,セル8,Reverse,1_LotF259031_PSC30＿水準9_セル8_Reverse,12.076396093237,0.607703409842619,1.131837,1.0117,1.416186,23.2466513460276,0.73569405,98.0223116425315,17938.0972571004,0.65,0.854840862247383,0.001433422191595,2.899953521298443e-07,3.887982493477492,24.19698591552212,2883100.7320706826,0.9995377443404808,0.0480704827260109,2,1000,1000,2,0,3,1000.0,2,0,24863252.0,123542632.0,108425383.0,3961184.0,40675670.0,571977382.0,1534790684.0,706788740.0,27225696.0,210449.0,13943487.0,371893003.0,1911868.0,7483057.0
1_LotF259031,PSC30＿水準9,セル9,Forward,1_LotF259031_PSC30＿水準9_セル9_Forward,10.868377216021,0.510914563962556,1.122206,1.0117,1.428662,23.4514445173999,0.66210154,207.88624797129,8938.53538034638,0.59,0.907082570130946,0.0014208407929139,4.168518639069702e-07,4.351329040404908,131.54158139381647,3544836.161414301,0.999905379772313,0.0087158831563477,2,1000,1000,2,0,3,1000.0,2,0,24863252.0,123542632.0,108425383.0,3961184.0,40675670.0,571977382.0,1534790684.0,706788740.0,27225696.0,210449.0,13943487.0,371893003.0,1911868.0,7483057.0
1_LotF259031,PSC30＿水準9,セル9,Reverse,1_LotF259031_PSC30＿水準9_セル9_Reverse,11.5703896913986,0.517297145826576,1.052042,1.0117,1.425125,23.3933847669074,0.70486814,160.015028611487,9557.6820593613,0.67,0.956125365694346,0.0014679383288262,7.019036778186786e-08,3.806947624459831,97.08601646175876,3799.888811879565,0.9992109507394248,0.0242112291020322,2,1000,1000,2,0,3,1000.0,2,0,24863252.0,123542632.0,108425383.0,3961184.0,40675670.0,571977382.0,1534790684.0,706788740.0,27225696.0,210449.0,13943487.0,371893003.0,1911868.0,7483057.0
1_LotF259031,PSC30＿水準9,セル10,Forward,1_LotF259031_PSC30＿水準9_セル10_Forward,10.8991730137886,0.521736792979855,1.144789,1.0117,1.434727,23.5510013131976,0.66397762,197.469312281525,22204.5781802986,0.58,0.887018556981152,0.0014339582873398,2.404403614549234e-07,3.999999999944468,140.72965134499646,9998204.044249052,0.9990478433291248,0.0286173121174596,2,1000,1000,2,0,3,1000.0,2,0,24863252.0,123542632.0,108425383.0,3961184.0,40675670.0,571977382.0,1534790684.0,706788740.0,27225696.0,210449.0,13943487.0,371893003.0,1911868.0,7483057.0
