[Header]
Application Name,LabSolutions
Version,5.128 SP1
Data File Name,C:\LabSolutions\Sample\LC\Demo_Data-005.lcd
Output Date,2026/03/04
Output Time,15:46:50

[Configuration]
Instrument Name,ëïíu1
Instrument #,-1
Line #,1
# of Detectors,1
Detector ID,Detector A
Detector Name,åüèoäÌA
# of Channels,1

[Peak Table(Detector A)]
# of Peaks,4
Peak#,R.Time,I.Time,F.Time,Area,Height,A/H,Conc.,Mark,ID#,Name,k',Plate #,Plate Ht.,Tailing,Resolution,Sep.Factor,Area Ratio,Height Ratio,Conc. %,Norm Conc.
1,2.656,2.533,2.825,58928,10414,5.659,0.804,   ,1,Methyl paraben,0.000,4255,35.251,1.195,0.000,0.000,0,0,25.243,25.243
2,3.246,3.108,3.408,64286,12151,5.291,0.776,   ,2,Ethyl paraben,0.222,7117,21.077,1.172,3.724,0.000,0,0,24.357,24.357
3,3.959,3.833,4.100,42947,9138,4.700,0.804,   ,3,Propyl paraben,0.491,13059,11.486,1.172,4.876,2.209,0,0,25.244,25.244
4,4.654,4.533,4.792,45852,10652,4.304,0.801,   ,4,Butyl paraben,0.752,21408,7.007,1.184,5.228,1.533,0,0,25.156,25.156

[LC Chromatogram(Detector A-Ch1)]
5.22500,3580
5.23333,3591
5.24167,3603
5.25000,3613
5.25833,3623
5.26667,3634
5.27500,3644
5.28333,3655
5.29167,3667
5.30000,3679
5.30833,3691
5.31667,3702
5.32500,3713
5.33333,3724
5.34167,3736
5.35000,3748
5.35833,3761
5.36667,3773
5.37500,3786
5.38333,3798
5.39167,3808
5.40000,3819
5.40833,3832
5.41667,3844
5.42500,3856
5.43333,3866
5.44167,3878
5.45000,3889
5.45833,3901
5.46667,3912
5.47500,3923
5.48333,3932
5.49167,3941
5.50000,3950
5.50833,3958
5.51667,3967
5.52500,3976
5.53333,3984
5.54167,3992
5.55000,3999
5.55833,4007
5.56667,4015
5.57500,4024
5.58333,4032
5.59167,4041
5.60000,4049
5.60833,4058
5.61667,4066
5.62500,4074
5.63333,4082
5.64167,4091
5.65000,4100
5.65833,4108
5.66667,4115
5.67500,4123
5.68333,4131
5.69167,4138
5.70000,4146
5.70833,4154
5.71667,4162
5.72500,4170
5.73333,4178
5.74167,4186
5.75000,4194
5.75833,4202
5.76667,4210
5.77500,4218
5.78333,4226
5.79167,4234
5.80000,4242
5.80833,4249
5.81667,4256
5.82500,4264
5.83333,4272
5.84167,4281
5.85000,4292
5.85833,4302
5.86667,4311
5.87500,4320
5.88333,4329
5.89167,4336
5.90000,4343
5.90833,4350
5.91667,4357
5.92500,4364
5.93333,4371
5.94167,4379
5.95000,4386
5.95833,4394
5.96667,4401
5.97500,4409
5.98333,4417
5.99167,4426
6.00000,4434
6.00833,4441
6.01667,4448
6.02500,4455
6.03333,4462
6.04167,4468
6.05000,4474
6.05833,4480
6.06667,4486
6.07500,4492
6.08333,4498
6.09167,4504
6.10000,4510
6.10833,4516
6.11667,4524
6.12500,4532
6.13333,4542
6.14167,4554
6.15000,4565
6.15833,4573
6.16667,4579
6.17500,4582
6.18333,4583
6.19167,4583
6.20000,4585
6.20833,4589
6.21667,4593
6.22500,4598
6.23333,4603
6.24167,4608
6.25000,4614
6.25833,4621
6.26667,4628
6.27500,4634
6.28333,4641
6.29167,4647
6.30000,4654
6.30833,4662
6.31667,4670
6.32500,4678
6.33333,4687
6.34167,4696
6.35000,4705
6.35833,4714
6.36667,4725
6.37500,4734
6.38333,4745
6.39167,4757
6.40000,4770
6.40833,4784
6.41667,4797
6.42500,4812
6.43333,4828
6.44167,4843
6.45000,4858
6.45833,4876
6.46667,4893
6.47500,4909
6.48333,4926
6.49167,4945
6.50000,4964
6.50833,4982
6.51667,5000
6.52500,5018
6.53333,5034
6.54167,5049
6.55000,5065
6.55833,5080
6.56667,5097
6.57500,5113
6.58333,5130
6.59167,5146
6.60000,5162
6.60833,5177
6.61667,5191
6.62500,5204
6.63333,5217
6.64167,5231
6.65000,5244
6.65833,5259
6.66667,5274
6.67500,5289
6.68333,5304
6.69167,5318
6.70000,5332
6.70833,5346
6.71667,5364
6.72500,5398
6.73333,5465
6.74167,5582
6.75000,5758
6.75833,5972
6.76667,6174
6.77500,6303
6.78333,6321
6.79167,6229
6.80000,6065
6.80833,5873
6.81667,5693
6.82500,5546
6.83333,5435
6.84167,5357
6.85000,5304
6.85833,5267
6.86667,5242
6.87500,5224
6.88333,5210
6.89167,5196
6.90000,5183
6.90833,5169
6.91667,5155
6.92500,5141
6.93333,5127
6.94167,5112
6.95000,5093
6.95833,5071
6.96667,5044
6.97500,5012
6.98333,4974
6.99167,4932
7.00000,4886
7.00833,4836
7.01667,4783
7.02500,4727
7.03333,4669
7.04167,4610
7.05000,4549
7.05833,4483
7.06667,4413
7.07500,4337
7.08333,4249
7.09167,4149
7.10000,4034
7.10833,3901
7.11667,3745
7.12500,3561
7.13333,3346
7.14167,3097
7.15000,2815
7.15833,2502
7.16667,2163
7.17500,1804
7.18333,1434
7.19167,1061
7.20000,690
7.20833,329
7.21667,-17
7.22500,-347
7.23333,-661
7.24167,-960
7.25000,-1241
7.25833,-1499
7.26667,-1731
7.27500,-1933
7.28333,-2101
7.29167,-2235
7.30000,-2334
7.30833,-2402
7.31667,-2440
7.32500,-2453
7.33333,-2442
7.34167,-2414
7.35000,-2372
7.35833,-2322
7.36667,-2268
7.37500,-2211
7.38333,-2156
7.39167,-2100
7.40000,-2045
7.40833,-1991
7.41667,-1937
7.42500,-1885
7.43333,-1837
7.44167,-1792
7.45000,-1750
7.45833,-1711
7.46667,-1675
7.47500,-1642
7.48333,-1611
7.49167,-1583
7.50000,-1558
7.50833,-1536
7.51667,-1515
7.52500,-1497
7.53333,-1480
7.54167,-1464
7.55000,-1449
7.55833,-1436
7.56667,-1424
7.57500,-1412
7.58333,-1402
7.59167,-1393
7.60000,-1386
7.60833,-1378
7.61667,-1371
7.62500,-1364
7.63333,-1357
7.64167,-1351
7.65000,-1347
7.65833,-1341
7.66667,-1336
7.67500,-1331
7.68333,-1327
7.69167,-1322
7.70000,-1317
7.70833,-1312
7.71667,-1307
7.72500,-1303
7.73333,-1299
7.74167,-1297
7.75000,-1295
7.75833,-1292
7.76667,-1289
7.77500,-1285
7.78333,-1282
7.79167,-1279
7.80000,-1276
7.80833,-1272
7.81667,-1269
7.82500,-1267
7.83333,-1264
7.84167,-1262
7.85000,-1261
7.85833,-1259
7.86667,-1258
7.87500,-1256
7.88333,-1256
7.89167,-1254
7.90000,-1253
7.90833,-1251
7.91667,-1250
7.92500,-1250
7.93333,-1249
7.94167,-1248
7.95000,-1247
7.95833,-1248
7.96667,-1248
7.97500,-1248
7.98333,-1248
7.99167,-1247
8.00000,-1248
8.00833,-1249
8.01667,-1249
8.02500,-1249
8.03333,-1250
8.04167,-1251
8.05000,-1252
8.05833,-1252
8.06667,-1252
8.07500,-1253
8.08333,-1252
8.09167,-1250
8.10000,-1249
8.10833,-1248
8.11667,-1246
8.12500,-1245
8.13333,-1244
8.14167,-1242
8.15000,-1240
8.15833,-1238
8.16667,-1238
8.17500,-1237
8.18333,-1236
8.19167,-1234
8.20000,-1231
8.20833,-1229
8.21667,-1228
8.22500,-1226
8.23333,-1224
8.24167,-1222
8.25000,-1220
8.25833,-1217
8.26667,-1214
8.27500,-1211
8.28333,-1208
8.29167,-1205
8.30000,-1202
8.30833,-1200
8.31667,-1198
8.32500,-1195
8.33333,-1194
8.34167,-1191
8.35000,-1188
8.35833,-1185
8.36667,-1183
8.37500,-1180
8.38333,-1176
8.39167,-1172
8.40000,-1168
8.40833,-1163
8.41667,-1158
8.42500,-1153
8.43333,-1147
8.44167,-1139
8.45000,-1131
8.45833,-1123
8.46667,-1116
8.47500,-1107
8.48333,-1096
8.49167,-1085
8.50000,-1073
8.50833,-1063
8.51667,-1049
8.52500,-1035
8.53333,-1020
8.54167,-1005
8.55000,-990
8.55833,-975
8.56667,-957
8.57500,-939
8.58333,-922
8.59167,-904
8.60000,-884
8.60833,-863
8.61667,-841
8.62500,-819
8.63333,-797
8.64167,-775
8.65000,-752
8.65833,-730
8.66667,-707
8.67500,-682
8.68333,-659
8.69167,-636
8.70000,-613
8.70833,-591
8.71667,-568
8.72500,-545
8.73333,-523
8.74167,-501
8.75000,-480
8.75833,-459
8.76667,-439
8.77500,-419
