[Header]
Application Name,LabSolutions
Version,5.128 SP1
Data File Name,C:\LabSolutions\Sample\LC\Demo_Data-003.lcd
Output Date,2026/03/04
Output Time,15:45:34

[Configuration]
Instrument Name,ëïíu1
Instrument #,-1
Line #,1
# of Detectors,1
Detector ID,Detector A
Detector Name,åüèoäÌA
# of Channels,1

[Peak Table(Detector A)]
# of Peaks,4
Peak#,R.Time,I.Time,F.Time,Area,Height,A/H,Conc.,Mark,ID#,Name,k',Plate #,Plate Ht.,Tailing,Resolution,Sep.Factor,Area Ratio,Height Ratio,Conc. %,Norm Conc.
1,2.649,2.508,2.850,292783,51586,5.676,4.002,   ,1,Methyl paraben,0.000,4243,35.350,1.198,0.000,0.000,0,0,24.992,24.992
2,3.237,3.083,3.425,322020,60349,5.336,4.007,   ,2,Ethyl paraben,0.222,6996,21.441,1.171,3.704,0.000,0,0,25.026,25.026
3,3.950,3.817,4.125,213341,45215,4.718,4.002,   ,3,Propyl paraben,0.491,12984,11.552,1.182,4.858,2.212,0,0,24.991,24.991
4,4.645,4.517,4.808,227691,52643,4.325,4.002,   ,4,Butyl paraben,0.753,21288,7.046,1.190,5.225,1.534,0,0,24.992,24.992

[LC Chromatogram(Detector A-Ch1)]
4.29167,2423
4.30000,2431
4.30833,2438
4.31667,2447
4.32500,2456
4.33333,2466
4.34167,2475
4.35000,2485
4.35833,2494
4.36667,2503
4.37500,2510
4.38333,2518
4.39167,2524
4.40000,2531
4.40833,2538
4.41667,2544
4.42500,2550
4.43333,2555
4.44167,2561
4.45000,2567
4.45833,2574
4.46667,2580
4.47500,2587
4.48333,2595
4.49167,2603
4.50000,2610
4.50833,2619
4.51667,2630
4.52500,2646
4.53333,2669
4.54167,2707
4.55000,2778
4.55833,2921
4.56667,3228
4.57500,3896
4.58333,5292
4.59167,7979
4.60000,12603
4.60833,19589
4.61667,28704
4.62500,38774
4.63333,47848
4.64167,53858
4.65000,55456
4.65833,52524
4.66667,46106
4.67500,37855
4.68333,29388
4.69167,21851
4.70000,15805
4.70833,11328
4.71667,8220
4.72500,6171
4.73333,4878
4.74167,4090
4.75000,3624
4.75833,3357
4.76667,3208
4.77500,3126
4.78333,3082
4.79167,3060
4.80000,3050
4.80833,3046
4.81667,3047
4.82500,3050
4.83333,3054
4.84167,3058
4.85000,3063
4.85833,3071
4.86667,3078
4.87500,3086
4.88333,3094
4.89167,3103
4.90000,3113
4.90833,3125
4.91667,3139
4.92500,3154
4.93333,3168
4.94167,3178
4.95000,3187
4.95833,3193
4.96667,3199
4.97500,3204
4.98333,3211
4.99167,3218
5.00000,3226
5.00833,3236
5.01667,3248
5.02500,3260
5.03333,3274
5.04167,3286
5.05000,3298
5.05833,3311
5.06667,3323
5.07500,3336
5.08333,3349
5.09167,3361
5.10000,3372
5.10833,3384
5.11667,3396
5.12500,3409
5.13333,3421
5.14167,3433
5.15000,3444
5.15833,3455
5.16667,3466
5.17500,3476
5.18333,3485
5.19167,3493
5.20000,3502
5.20833,3512
5.21667,3522
5.22500,3531
5.23333,3542
5.24167,3552
5.25000,3563
5.25833,3572
5.26667,3581
5.27500,3589
5.28333,3597
5.29167,3605
5.30000,3615
5.30833,3624
5.31667,3633
5.32500,3642
5.33333,3650
5.34167,3659
5.35000,3668
5.35833,3678
5.36667,3687
5.37500,3696
5.38333,3705
5.39167,3716
5.40000,3727
5.40833,3738
5.41667,3749
5.42500,3761
5.43333,3773
5.44167,3784
5.45000,3798
5.45833,3812
5.46667,3826
5.47500,3838
5.48333,3849
5.49167,3859
5.50000,3867
5.50833,3874
5.51667,3881
5.52500,3888
5.53333,3896
5.54167,3904
5.55000,3913
5.55833,3923
5.56667,3932
5.57500,3941
5.58333,3951
5.59167,3960
5.60000,3968
5.60833,3979
5.61667,3988
5.62500,3998
5.63333,4007
5.64167,4017
5.65000,4027
5.65833,4035
5.66667,4043
5.67500,4050
5.68333,4058
5.69167,4066
5.70000,4074
5.70833,4083
5.71667,4092
5.72500,4100
5.73333,4109
5.74167,4118
5.75000,4126
5.75833,4135
5.76667,4143
5.77500,4152
5.78333,4160
5.79167,4168
5.80000,4177
5.80833,4185
5.81667,4193
5.82500,4202
5.83333,4211
5.84167,4220
5.85000,4228
5.85833,4237
5.86667,4246
5.87500,4254
5.88333,4261
5.89167,4267
5.90000,4273
5.90833,4281
5.91667,4289
5.92500,4298
5.93333,4306
5.94167,4314
5.95000,4324
5.95833,4334
