[Header]
Application Name,LabSolutions
Version,5.128 SP1
Data File Name,C:\LabSolutions\Sample\LC\Demo_Data-006.lcd
Output Date,2026/03/04
Output Time,15:47:10

[Configuration]
Instrument Name,ëïíu1
Instrument #,-1
Line #,1
# of Detectors,1
Detector ID,Detector A
Detector Name,åüèoäÌA
# of Channels,1

[Peak Table(Detector A)]
# of Peaks,4
Peak#,R.Time,I.Time,F.Time,Area,Height,A/H,Conc.,Mark,ID#,Name,k',Plate #,Plate Ht.,Tailing,Resolution,Sep.Factor,Area Ratio,Height Ratio,Conc. %,Norm Conc.
1,2.660,2.525,2.858,175519,30759,5.706,2.398,   ,1,Methyl paraben,0.000,4228,35.478,1.202,0.000,0.000,0,0,25.063,25.063
2,3.253,3.108,3.425,192088,36032,5.331,2.378,   ,2,Ethyl paraben,0.223,7060,21.246,1.171,3.723,0.000,0,0,24.852,24.852
3,3.968,3.833,4.133,127901,27158,4.709,2.398,   ,3,Propyl paraben,0.492,13063,11.483,1.176,4.869,2.206,0,0,25.063,25.063
4,4.664,4.533,4.817,136373,31665,4.307,2.395,   ,4,Butyl paraben,0.753,20407,7.350,1.187,5.164,1.532,0,0,25.023,25.023

[LC Chromatogram(Detector A-Ch1)]
Interval(msec),500
# of Points,1201
4.62500,11520
4.63333,16689
4.64167,22710
4.65000,28506
4.65833,32786
4.66667,34559
4.67500,33528
4.68333,30156
4.69167,25387
4.70000,20242
4.70833,15506
4.71667,11612
4.72500,8671
4.73333,6597
4.74167,5213
4.75000,4330
4.75833,3790
4.76667,3469
4.77500,3283
4.78333,3181
4.79167,3126
4.80000,3098
4.80833,3086
4.81667,3083
4.82500,3084
4.83333,3088
4.84167,3094
4.85000,3102
4.85833,3110
4.86667,3121
4.87500,3132
4.88333,3143
4.89167,3153
4.90000,3164
4.90833,3176
4.91667,3189
4.92500,3202
4.93333,3215
4.94167,3230
4.95000,3243
4.95833,3254
4.96667,3263
4.97500,3270
4.98333,3277
4.99167,3284
5.00000,3290
5.00833,3297
5.01667,3305
5.02500,3314
5.03333,3322
5.04167,3331
5.05000,3340
5.05833,3348
5.06667,3357
5.07500,3366
5.08333,3375
5.09167,3384
5.10000,3393
5.10833,3402
5.11667,3412
5.12500,3422
5.13333,3431
5.14167,3442
5.15000,3452
5.15833,3463
5.16667,3474
5.17500,3484
5.18333,3495
5.19167,3505
5.20000,3515
5.20833,3526
5.21667,3538
5.22500,3552
5.23333,3566
5.24167,3580
5.25000,3595
5.25833,3609
5.26667,3623
5.27500,3637
5.28333,3649
5.29167,3661
5.30000,3672
5.30833,3685
5.31667,3696
5.32500,3708
5.33333,3718
5.34167,3727
5.35000,3737
5.35833,3746
5.36667,3755
5.37500,3764
5.38333,3773
5.39167,3781
5.40000,3790
5.40833,3799
5.41667,3809
5.42500,3818
5.43333,3828
5.44167,3838
5.45000,3849
5.45833,3861
5.46667,3873
5.47500,3884
5.48333,3896
5.49167,3907
5.50000,3917
5.50833,3928
5.51667,3938
5.52500,3947
5.53333,3956
5.54167,3965
5.55000,3975
5.55833,3984
5.56667,3995
5.57500,4006
5.58333,4016
5.59167,4026
5.60000,4035
5.60833,4045
5.61667,4055
5.62500,4065
5.63333,4074
5.64167,4082
5.65000,4090
5.65833,4096
5.66667,4104
5.67500,4112
5.68333,4119
5.69167,4127
5.70000,4135
5.70833,4143
5.71667,4151
5.72500,4158
5.73333,4166
5.74167,4175
5.75000,4183
5.75833,4192
5.76667,4201
5.77500,4211
5.78333,4220
5.79167,4228
5.80000,4237
5.80833,4246
5.81667,4255
5.82500,4264
5.83333,4274
5.84167,4282
5.85000,4290
5.85833,4300
5.86667,4310
5.87500,4320
5.88333,4329
5.89167,4338
5.90000,4347
5.90833,4354
5.91667,4361
5.92500,4368
5.93333,4374
5.94167,4380
5.95000,4386
5.95833,4392
5.96667,4400
5.97500,4409
5.98333,4418
5.99167,4425
6.00000,4432
6.00833,4438
6.01667,4444
6.02500,4450
6.03333,4457
6.04167,4465
6.05000,4473
6.05833,4480
6.06667,4487
6.07500,4495
6.08333,4503
6.09167,4510
6.10000,4516
6.10833,4523
6.11667,4531
6.12500,4539
6.13333,4549
6.14167,4560
6.15000,4572
6.15833,4583
6.16667,4593
6.17500,4600
6.18333,4603
6.19167,4604
6.20000,4604
6.20833,4604
6.21667,4607
6.22500,4610
6.23333,4614
6.24167,4617
6.25000,4621
6.25833,4626
6.26667,4632
6.27500,4637
6.28333,4643
6.29167,4648
6.30000,4654
6.30833,4659
6.31667,4665
6.32500,4672
6.33333,4680
6.34167,4688
6.35000,4695
6.35833,4702
6.36667,4710
6.37500,4718
6.38333,4726
6.39167,4736
6.40000,4746
6.40833,4756
6.41667,4767
6.42500,4781
6.43333,4796
6.44167,4813
6.45000,4831
6.45833,4849
6.46667,4867
6.47500,4887
6.48333,4906
6.49167,4924
6.50000,4944
6.50833,4964
6.51667,4986
6.52500,5006
6.53333,5026
